task_id,baseline,cadg,sentinel,forge,cadg_sentinel,forge_cadg,forge_sentinel,full_stack,retry_feedback
ifbench_0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
ifbench_1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ifbench_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ifbench_100,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ifbench_101,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifbench_102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifbench_103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifbench_104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifbench_105,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
ifbench_106,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifbench_107,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
ifbench_108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifbench_109,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ifbench_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ifbench_110,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
ifbench_111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifbench_112,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ifbench_113,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifbench_114,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
ifbench_115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifbench_116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifbench_117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifbench_118,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ifbench_119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifbench_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
