task_id,baseline,cadg,sentinel,forge,cadg_sentinel,forge_cadg,forge_sentinel,full_stack,retry_feedback
ifeval_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_100,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ifeval_101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ifeval_102,0.5,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.5
ifeval_103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_106,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_109,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_110,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
ifeval_111,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5
ifeval_112,0.5,0.5,1.0,0.5,1.0,0.5,1.0,1.0,0.5
ifeval_113,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_115,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
ifeval_116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ifeval_12,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
ifeval_120,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0
ifeval_121,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_123,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_124,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0
ifeval_125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_126,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_127,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_130,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666
ifeval_131,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
ifeval_132,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_135,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_136,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_137,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
ifeval_138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ifeval_139,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
