task_id,baseline,cadg,sentinel,forge,cadg_sentinel,forge_cadg,forge_sentinel,full_stack,retry_feedback
sysprompt_10g_0,0.9,0.9,0.9,0.9,0.9,0.7,0.9,0.9,0.9
sysprompt_10g_1,0.8,0.9,0.9,0.9,0.9,0.6,0.8,0.8,0.9
sysprompt_10g_2,0.8,1.0,1.0,0.9,1.0,0.8,1.0,0.9,0.9
sysprompt_10g_3,0.8,0.8,1.0,0.8,0.9,0.7,1.0,0.8,0.8
sysprompt_10g_4,0.9,0.9,0.9,0.9,0.9,0.6,0.9,0.9,0.9
sysprompt_10g_5,0.8,0.9,1.0,0.8,1.0,0.8,0.9,0.9,0.9
sysprompt_10g_6,0.8,0.9,0.8,0.9,0.9,0.6,0.9,0.9,0.9
sysprompt_10g_7,0.7,0.9,1.0,0.9,0.9,0.7,1.0,0.9,1.0
sysprompt_10g_8,0.9,0.9,0.9,0.8,0.9,0.6,0.9,0.8,0.9
sysprompt_10g_9,0.8,0.9,0.9,0.8,1.0,0.7,1.0,1.0,0.8
sysprompt_20g_0,0.85,0.9,0.95,0.85,0.95,0.85,0.95,0.9,0.9
sysprompt_20g_1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
sysprompt_20g_2,0.9,0.9,0.95,0.9,0.95,0.85,0.95,0.9,0.95
sysprompt_20g_3,0.85,0.85,0.9,0.85,0.95,0.75,0.95,0.9,0.85
sysprompt_20g_4,0.9,0.9,0.9,0.85,0.9,0.8,0.9,0.95,0.9
sysprompt_20g_5,0.75,0.85,0.95,0.85,0.95,0.75,0.95,0.9,0.85
sysprompt_20g_6,0.8,0.85,0.8,0.8,0.85,0.8,0.85,0.85,0.8
sysprompt_20g_7,0.9,0.9,0.95,0.9,0.95,0.8,0.95,0.9,0.9
sysprompt_20g_8,0.9,0.9,0.95,0.8,0.95,0.85,0.85,0.9,0.9
sysprompt_20g_9,0.8,0.85,0.85,0.8,0.95,0.8,0.95,0.95,0.75
sysprompt_30g_0,0.9,0.9,0.9,0.9333333333333333,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.9,0.9
sysprompt_30g_1,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8333333333333334,0.9333333333333333,0.8666666666666667,0.9333333333333333,0.9,0.9
sysprompt_30g_2,0.9,0.9,0.9333333333333333,0.9,0.9666666666666667,0.7666666666666667,0.9666666666666667,0.9666666666666667,0.9333333333333333
sysprompt_30g_3,0.8666666666666667,0.9,0.9666666666666667,0.8666666666666667,0.9666666666666667,0.8333333333333334,0.9666666666666667,0.9666666666666667,0.8666666666666667
sysprompt_30g_4,0.9,0.9,0.9333333333333333,0.9,0.9,0.9,0.9,0.9666666666666667,0.9333333333333333
sysprompt_30g_5,0.8333333333333334,0.9,0.9666666666666667,0.8333333333333334,0.9333333333333333,0.8333333333333334,0.9333333333333333,0.9,0.9333333333333333
sysprompt_30g_6,0.9,0.9,0.9,0.9333333333333333,0.9333333333333333,0.8333333333333334,0.9,0.9,0.9333333333333333
sysprompt_30g_7,0.8333333333333334,0.9,0.9666666666666667,0.8333333333333334,0.9333333333333333,0.8,0.9666666666666667,0.9666666666666667,0.8666666666666667
sysprompt_30g_8,0.8666666666666667,0.9333333333333333,0.9,0.8666666666666667,0.9333333333333333,0.9,0.9666666666666667,0.9,0.9333333333333333
sysprompt_30g_9,0.9333333333333333,0.9,0.9666666666666667,0.9,0.9666666666666667,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9
sysprompt_50g_0,0.88,0.88,0.9,0.88,0.92,0.86,0.94,0.88,0.88
sysprompt_50g_1,0.86,0.9,0.92,0.84,0.94,0.86,0.92,0.94,0.9
sysprompt_50g_2,0.92,0.92,0.96,0.9,0.94,0.86,0.94,0.94,0.92
sysprompt_50g_3,0.88,0.9,0.96,0.86,0.94,0.86,0.9,0.94,0.9
sysprompt_50g_4,0.86,0.9,0.9,0.88,0.94,0.88,0.9,0.92,0.9
sysprompt_50g_5,0.88,0.9,0.92,0.92,0.94,0.88,0.96,0.96,0.9
sysprompt_50g_6,0.86,0.88,0.94,0.86,0.92,0.88,0.92,0.9,0.88
sysprompt_50g_7,0.88,0.9,0.92,0.9,0.94,0.88,0.94,0.92,0.9
sysprompt_50g_8,0.94,0.92,0.92,0.92,0.94,0.9,0.92,0.92,0.92
sysprompt_50g_9,0.92,0.92,0.92,0.9,0.9,0.88,0.9,0.92,0.94
